20,The Rocketeers,Clifton Park, New York
27,Team RUSH,Clarkston, Michigan
57,Leopards,Houston, Texas
78,AIR STRIKE,Newport, Rhode Island
85,B.O.B. (Built on Brains),Zeeland, Michigan
120,Cleveland's Team,Cleveland, Ohio
133,B.E.R.T.,Standish, Maine
141,WOBOT,Holland, Michigan
190,Gompei and the H.E.R.D.,Worcester, Massachusetts
228,GUS Robotics,Meriden, Connecticut
230,Gaelhawks,Shelton, Connecticut
263,Sachem Aftershock,Lake Ronkonkoma, New York
295,Grizzly Robotics Team,Granite Bay, California
330,The Beach Bots,Hermosa Beach, California
359,Hawaiian Kids,Waialua, Hawaii
360,The Revolution,Tacoma, Washington
384,Sparky 384,Richmond, Virginia
503,Frog Force,Novi, Michigan
573,Mech Warriors,Bloomfield Hills, Michigan
834,SparTechs,Center Valley, Pennsylvania
842,Falcon Robotics,Phoenix, Arizona
910,The Foley Freeze,Madison Heights, Michigan
1058,PVC Pirates,Londonderry, New Hampshire
1086,Blue Cheese,Glen Allen, Virginia
1114,Simbotics,St. Catharines, Ontario
1262,the STAGS,Martinsville, Virginia
1305,Ice Cubed,North Bay, Ontario
1481,The Riveters,Farmington Hills, Michigan
1529,CyberCards,Indianapolis, Indiana
1648,G3 Robotics,Atlanta, Georgia
1665,Weapons of Mass Construction,Hudson, New York
1723,The FBI - FIRST Bots of Independence,Independence, Missouri
1729,Team Inconceivable!,New Ipswich, New Hampshire
1746,OTTO,Cumming, Georgia
1775,Tigerbytes,Kansas City, Missouri
1836,The MilkenKnights,Los Angeles, California
1902,Exploding Bacon,Orlando, Florida
2212,The Spikes,Lod, HaMerkaz (Central)
2370,iBots,Rutland, Vermont
2481,Roboteers,Tremont, Illinois
2634,The Gryphons,Toronto, Ontario
2648,Infinite Loop,Oakland, Maine
2767,Stryke Force,Kalamazoo, Michigan
2846,FireBears,Roseville, Minnesota
3049,BremerTron,Bremerton, Washington
3357,COMETS,Grand Rapids, Michigan
3419,RoHawks,New York, New York
3452,GreengineerZ,Berrien Springs, Michigan
3478,LamBot,San Luis Potosí, San Luis Potosí
3490,Viper Drive,Summerville, South Carolina
3536,Electro Eagles,Hartland, Michigan
3562,LiveWire,Pocatello, Idaho
3600,Clockwork,Madison, Georgia
3735,Klein Bots,Klein, Texas
4253,TAS Robotics,Taipei, Taipei
4301,SM Energy New Tech Narcissists,Odessa, Texas
4405,The Atoms Family,Canton, Michigan
4451,ROBOTZ Garage,Laurens, South Carolina
4536,MinuteBots,Saint Paul, Minnesota
4607,C.I.S.,Becker, Minnesota
5048,Spartronics,Imlay City, Michigan
5326,Optimus PRIN,St. Louis, Missouri
5333,Can't C#,Perth, Western Australia
5460,Strike Zone,Lapeer, Michigan
5472,Stallions,Delray Beach , Florida
5518,Techno Wolves,Apex, North Carolina
5816,GRA-V,Orlando, Florida
5822,WolfByte,Chicago, Illinois
5830,The Irrational Engineers,Lanham, Maryland
5870,League of Logic,London, Ontario
5891,UASGC Robosquad,New York, New York
5920,VIKotics,Palouse, Washington
5924,The Cat Machine,San Francisco, California
5980,East Grand Rapids Robotics,East Grand Rapids, Michigan
6086,Ignition,Mt. Morris, Michigan