8,Team 8,Palo Alto, California
25,Raider Robotix,North Brunswick, New Jersey
166,Chop Shop,Merrimack, New Hampshire
191,X-CATS,Rochester, New York
287,Floyd,Mastic Beach, New York
321,RoboLancers,Philadelphia, Pennsylvania
339,Kilroy Robotics,Stafford, Virginia
379,RoboCats,Girard, Ohio
639,Code Red Robotics,Ithaca, New York
694,StuyPulse,New York, New York
836,The RoboBees,Hollywood, Maryland
858,Demons,Wyoming, Michigan
876,Thunder Robotics,Hatton/Northwood, North Dakota
955,CV Robotics,Corvallis, Oregon
1073,The Force Team,Hollis, New Hampshire
1089,Team Mercury,Hightstown, New Jersey
1123,AIM Robotics,Burke (open to all Fairfax & Loudoun County), Virginia
1261,Robo Lions,Suwanee, Georgia
1389,The Body Electric,Bethesda, Maryland
1511,Rolling Thunder,Penfield, New York
1662,Raptor Force Engineering,Lodi, California
1868,Space Cookies,Moffett Field, California
1885,ILITE Robotics,Haymarket, Virginia
1983,Skunk Works Robotics,Seattle, Washington
1991,Dragons,Hartford, Connecticut
2080,Torbotics,Hammond, Louisiana
2168,Aluminum Falcons,Groton, Connecticut
2175,The Fighting Calculators,Woodbury, Minnesota
2220,Blue Twilight,Eagan, Minnesota
2557,SOTAbots,Tacoma, Washington
2848,The All Sparks,Dallas, Texas
2883,F.R.E.D (Fighting Rednecks Engineering and Design),Warroad, Minnesota
2974,Walton Robotics,Marietta , Georgia
2980,The Whidbey Island Wild Cats,Oak Harbor, Washington
3005,RoboChargers,Dallas, Texas
3147,Munster HorsePower,Munster, Indiana
3230,PrototypeX,Salt Lake City, Utah
3234,Red Arrows,Lowell, Michigan
3310,Black Hawk Robotics,Heath, Texas
3339,BumbleB,Kfar Yona, HaMerkaz (Central)
3374,RoboBroncs,Jackson, Wyoming
3506,YETI Robotics,Charlotte, North Carolina
3546,Buc'n'Gears,Grand Haven, Michigan
3618,Petoskey Paladins,Petoskey, Michigan
3641,The Flying Toasters,South Lyon, Michigan
3656,Dreadbots,Dexter, Michigan
3770,BlitzCreek,Midland, Michigan
3925,Circuit of Life,Ventura, California
3930,SMART Spruce Mountain Area Robotics Team,Jay, Livermore, Livermore Falls, Maine
3965,Sultans,Santee, California
3990,Tech for Kids,Montréal, Québec
4010,Nautilus,Tlalpan, Distrito Federal
4061,SciBorgs,Pullman, Washington
4087,Falcon Robotics,New Orleans, Louisiana
4180,Iron Riders,Seattle, Washington
4188,Columbus Space Program,Columbus, Georgia
4329,Lutheran Roboteers,St. Charles, Missouri
4335,Metallic Clouds,Waco, Texas
4455,The Burger Bots,Warrensburg, Missouri
4469,R.A.I.D. (Raider Artificial Intelligence DIvision),Auburn, Washington
4646,Team ASAP,Des Moines, Iowa
4910,East Cobb Robotics,Marietta, Georgia
5199,Robot Dolphins From Outer Space,Dana Point, California
5279,Bionic Eagles,Altavista, Virginia
5406,Celt-X,Hamilton, Ontario
5679,Girls on Fire,Winston-Salem, North Carolina
5803,Apex Robotics,Seatac, Washington
5834,R3P2,Toronto, Ontario
5837,Unity4Tech,Waterloo, Iowa
5892,High Energy,Houston, Texas
5933,JudgeMent Call,Salt lake City, Utah
5940,B.R.E.A.D.,Burlingame, California
5976,CyberSaders,Waukesha, Wisconsin
6016,Tiger Robotics,Hackettstown, New Jersey
6034,Eagle Storms,Florissant, Missouri