68,Truck Town Thunder,Ortonville, Michigan
88,TJ(Squared),Bridgewater, Massachusetts
175,Buzz Robotics,Enfield, Connecticut
176,Aces High,Windsor Locks, Connecticut
195,CyberKnights,Southington, Connecticut
245,Adambots,Rochester Hills, Michigan
279,Tech Fusion,Maumee, Ohio
333,MEGALODONS,Brooklyn, New York
341,Miss Daisy,Ambler, Pennsylvania
365,Miracle Workerz,Wilmington, Delaware
494,Martians,Goodrich, Michigan
538,Dragon Slayers,Arab, Alabama
558,Elm City Robo Squad,New Haven, Connecticut
623,Cougar Robotics,Vienna, Virginia
870,TEAM R. I. C. E.,Southold, New York
932,Circuit Chargers,Tulsa, Oklahoma
987,HIGHROLLERS,Las Vegas, Nevada
1023,Bedford Express,Temperance, Michigan
1065,The Moose,Kissimmee, Florida
1124,UberBots,Avon, Connecticut
1153,Robo-Rebels,Walpole, Massachusetts
1197,TorBots,Torrance, California
1209,Robo Hornets,Tulsa, Oklahoma
1339,AngelBotics,Denver, Colorado
1701,RoboCubs,Detroit, Michigan
2283,Panteras,Mexico City, Distrito Federal
2341,Sprockets,Shawnee, Oklahoma
2383,Ninjineers,Plantation, Florida
2439,Bearbotics,Wailuku, Hawaii
2468,Team Appreciate,Austin, Texas
2502,Talon Robotics,Eden Prairie, Minnesota
2638,Rebels,Great Neck, New York
2642,Pitt Pirates,Winterville, North Carolina
2907,Lion Robotics,Auburn, Washington
2935,NACI Robotics,Toronto, Ontario
2987,Rogue Robotics,Farmington, Minnesota
3018,Nordic Storm,Saint Peter, Minnesota
3128,Aluminum Narwhals,San Diego, California
3132,Thunder Down Under,Sydney, New South Wales
3539,Byting Bulldogs,Romeo, Michigan
3637,The Daleks,Flemington, New Jersey
3683,Team Dave,Waterloo, Ontario
3786,Chargers,Kent, Washington
3926,MPArors,Maplewood, Minnesota
4009,Denfeld DNA Robotics,Duluth, Minnesota
4013,Clockwork Mania,Orlando, Florida
4063,TriKzR4Kidz,Del Rio, Texas
4159,CardinalBotics,San Francisco, California
4290,Bots of War,Charlotte, North Carolina
4330,Rambunction,St. Louis, Missouri
4384,Benzene Bots,Troy, Michigan
4403,ROULT,Torreon, Coahuila
4450,Olympia Robotics Federation,Olympia, Washington
4499,The Highlanders,Fort Collins, Colorado
4525,Renaissance Robotics,St. Thomas, Ontario
4625,Trappers,Fort Mcmurray, Alberta
4740,Sparta Bots,Nashville, Tennessee
4945,Titanium-Wrecks,Snow Hill, Maryland
5006,Apophis,Prairie Grove, Arkansas
5012,Gryffingear,Palmdale, California
5034,River City Robotics,Chattanooga, Tennessee
5057,RoboBusters,Dallas, Texas
5243,Centreville Robotics,Centreville, Virginia
5448,CC Automationeers,Big Rapids, Michigan
5690,SubZero Robotics,Esko, Minnesota
5813,Morpheus,Concord, New Hampshire
5827,Code Purple,Kirkland, Washington
5846,Southcoast Corsairs,Dartmouth, Massachusetts
5855,Blue Collar Bruisers,West Allis , Wisconsin
5872,WiredCats,Davie, Florida
5930,Lunar Kitties,Newcastle, Oklahoma
6012,STEAMROLLERS,Bedford, Indiana
6166,Thorobotics,Holmen, Wisconsin
6175,Mystery Machine,Eden Valley, Minnesota
6193,The Legend of Robotics,Bay City, Michigan